101.2871553333,-16.7161158611,-1.460,0.6109,0.6919,1.0000,* alf CMa
95.9879578333,-52.6956613889,-0.740,0.8520,0.8621,1.0000,* alf Car
108.1500000000,-27.6666666667,-0.100,0.8000,0.8000,0.8000,NAME CMa Dwarf Galaxy
219.8738330417,-60.8322219444,-0.100,1.0000,0.8929,0.8238,* alf Cen
213.9153002917,19.1824091667,-0.050,1.0000,0.8221,0.6541,* alf Boo
219.9020583333,-60.8339926944,0.010,1.0000,0.8929,0.8238,* alf Cen A
279.2347347917,38.7836889444,0.030,0.6109,0.6919,1.0000,* alf Lyr
79.1723279583,45.9979914722,0.080,1.0000,0.8836,0.8000,* alf Aur
341.8662270000,58.1232450000,0.128,0.8000,0.8000,0.8000,2MASS J22472789+5807236
78.6344670833,-8.2016383611,0.130,0.5496,0.6441,1.0000,* bet Ori
114.8254979167,5.2249875556,0.370,0.9937,0.9526,1.0000,* alf CMi
80.8941666667,-69.7561111111,0.400,0.8000,0.8000,0.8000,NAME LMC
88.7929390000,7.4070640000,0.420,1.0000,0.6480,0.3346,* alf Ori
24.4285228333,-57.2367528056,0.460,0.5340,0.6316,1.0000,* alf Eri
210.9558556250,-60.3730351667,0.580,0.4701,0.5784,1.0000,* bet Cen
297.6958272917,8.8683211944,0.760,0.7652,0.8035,1.0000,* alf Aql
68.9801627917,16.5093023611,0.860,1.0000,0.7360,0.4803,* alf Tau
247.3519154167,-26.4320026111,0.910,1.0000,0.6789,0.3823,* alf Sco
201.2982473750,-11.1613194722,0.970,0.4701,0.5784,1.0000,* alf Vir
260.9237916667,30.4973888889,1.070,0.8000,0.8000,0.8000,SN 2009jb
116.3289577917,28.0261988889,1.140,1.0000,0.8330,0.6787,* bet Gem
344.4126927083,-29.6222370278,1.160,0.7004,0.7579,1.0000,* alf PsA
310.3579797500,45.2803388056,1.250,0.6504,0.7215,1.0000,* alf Cyg
191.9302865417,-59.6887720000,1.250,0.4701,0.5784,1.0000,* bet Cru
186.6495666667,-63.0990916667,1.280,0.4509,0.5617,1.0000,* alf01 Cru
219.8960962917,-60.8375275556,1.330,1.0000,0.8221,0.6541,* alf Cen B
152.0929624583,11.9672087778,1.400,0.5496,0.6441,1.0000,* alf Leo
104.6564531667,-28.9720861667,1.500,0.4701,0.5784,1.0000,* eps CMa
113.6494716250,31.8882822222,1.580,0.6324,0.7081,1.0000,* alf Gem
186.6518416667,-63.0995222222,1.580,0.4701,0.5784,1.0000,* alf02 Cru
263.4021671667,-37.1038235556,1.620,0.4799,0.5868,1.0000,* lam Sco
81.2827635417,6.3497032778,1.640,0.4799,0.5868,1.0000,* gam Ori
187.7914983750,-57.1132134444,1.640,1.0000,0.6318,0.3112,* gam Cru
81.5729713333,28.6074517222,1.650,0.5370,0.6340,1.0000,* bet Tau
84.0533889583,-1.2019191389,1.690,0.4509,0.5617,1.0000,* eps Ori
138.2999060833,-69.7172075833,1.690,0.6324,0.7081,1.0000,* bet Car
332.0582697083,-46.9609743889,1.710,0.5340,0.6316,1.0000,* alf Gru
