RA - Decimal,Dec - Decimal,Prop.motion RA,Prop.motion Dec,Mag V ,Red,Green,Blue,identifier             
276.0574401157,39.5072381075,-21.5580000000,-5.0910000000,5.12,0.6109,0.6919,1.0000,* mu. Lyr
297.6416477125,38.7224180923,11.6290000000,105.2080000000,5.12,1.0000,0.6480,0.3346,* 19 Cyg
142.6751574846,-40.4667576723,-203.9490000000,44.2660000000,5.12,0.8000,0.8000,0.8000,* psi Vel B
143.4355786250,-49.0050761389,-23.5700000000,7.0900000000,5.12,0.5229,0.6225,1.0000,HD 82984
118.0652623582,-34.7054399180,-198.0960000000,238.8120000000,5.12,0.9937,0.9526,1.0000,* 212 Pup A
310.0109895037,-60.5488940534,313.0120000000,-569.4730000000,5.121,1.0000,0.9019,0.8473,* phi02 Pav
102.7378712201,67.5719342231,0.7040000000,4.7570000000,5.122,0.5104,0.6122,1.0000,* 42 Cam
126.4781960805,7.5645040481,-34.4710000000,-10.1190000000,5.122,0.8000,0.8000,0.8000,HD 71115
45.9034115832,-59.7377745910,-73.6680000000,-63.5040000000,5.122,0.8668,0.8718,1.0000,* mu. Hor
37.0070966560,-33.8110395407,18.7590000000,5.4260000000,5.123,0.6504,0.7215,1.0000,* phi For
119.4654964998,-45.5776690592,-16.6830000000,30.0840000000,5.123,1.0000,0.7992,0.6045,* O Pup
52.6019465163,11.3364409908,-14.6800000000,-16.4600000000,5.124,0.6109,0.6919,1.0000,* s Tau
345.8742310754,-34.7494154245,73.6800000000,84.4020000000,5.124,0.8823,0.8819,1.0000,* pi. PsA
335.3982005739,-21.5982301141,-10.9860000000,-84.8340000000,5.124,1.0000,0.8330,0.6787,* 47 Aqr
243.8138240023,-47.3720198781,-34.6540000000,-45.7840000000,5.124,0.5496,0.6441,1.0000,* tet Nor
287.9190870874,56.8592055312,29.8870000000,46.3710000000,5.125,1.0000,0.8541,0.7277,* 53 Dra
123.4006369880,-46.9916283434,-8.1430000000,10.3570000000,5.127,0.5013,0.6047,1.0000,V* NO Vel
226.3298537185,-41.0672370890,21.8190000000,-1.6050000000,5.127,1.0000,0.8541,0.7277,HD 133340
9.1935044392,44.4885889380,-37.1210000000,32.2930000000,5.129,0.8000,0.8000,0.8000,V* V428 And
81.5802740550,-58.9125177834,-9.7920000000,33.3500000000,5.129,1.0000,0.8541,0.7277,* lam Dor
345.0212550911,56.9453752434,-3.0130000000,-2.2130000000,5.13,0.8000,0.8000,0.8000,V* V509 Cas
83.8186095697,-5.3897005033,2.2620000000,0.9940000000,5.13,0.8000,0.8000,0.8000,* tet01 Ori C
90.8640164247,19.6905628226,8.1320000000,-19.6750000000,5.13,0.5496,0.6441,1.0000,* 64 Ori
18.6001695667,-7.9228258238,124.2250000000,278.0070000000,5.13,0.9937,0.9526,1.0000,* 37 Cet
271.7566277537,30.5621069146,-100.1500000000,53.9980000000,5.13,0.8000,0.8000,0.8000,* b Her A
300.4364391775,-59.3758938167,20.2100000000,-27.1000000000,5.13,0.8000,0.8000,0.8000,V* NU Pav
233.7007299208,10.5377527753,-67.0120000000,3.4730000000,5.13,0.8668,0.8718,1.0000,* del Ser B
114.3195459426,-4.1109816313,-67.6240000000,16.9980000000,5.131,0.8000,0.8000,0.8000,* 25 Mon
298.3224089945,57.5234741390,6.0360000000,9.7870000000,5.132,0.5229,0.6225,1.0000,* 23 Cyg
359.7324145150,-52.7458062563,58.5100000000,62.0220000000,5.133,1.0000,0.8330,0.6787,* pi. Phe
310.4878188868,-66.7606807165,9.0980000000,-23.2240000000,5.134,0.5750,0.6642,1.0000,* ups Pav
30.5112593917,2.7638112889,41.8000000000,-11.0000000000,5.135,0.8000,0.8000,0.8000,* alf Psc B
62.5114473750,80.6986801389,-10.4400000000,2.4700000000,5.136,1.0000,0.8541,0.7277,HR 1230
137.0979153015,66.8732339353,-22.4840000000,-40.6490000000,5.136,1.0000,0.7360,0.4803,* sig01 UMa
225.9467901670,47.6539772391,-332.0620000000,87.3520000000,5.136,0.9937,0.9526,1.0000,* i Boo A
121.2687043022,13.1182165127,-34.7080000000,-62.9920000000,5.136,0.6324,0.7081,1.0000,* 8 Cnc
172.1461615410,-42.6742055598,-38.4010000000,8.8320000000,5.136,0.5750,0.6642,1.0000,HD 99803
183.0497692192,77.6162411832,10.7540000000,20.0590000000,5.137,0.8000,0.8000,0.8000,V* CO Cam
19.4498185640,3.6144690927,-47.9720000000,-21.8610000000,5.137,0.6324,0.7081,1.0000,* f Psc
233.6554924000,-28.0470202606,10.7550000000,-32.1800000000,5.138,1.0000,0.7992,0.6045,* 36 Lib
185.2321369717,-13.5657250089,-4.9300000000,9.8600000000,5.139,1.0000,0.8330,0.6787,HD 107418
116.8763492685,33.4156968635,-17.4800000000,-28.3340000000,5.14,1.0000,0.6789,0.3823,* pi. Gem
347.3810724271,8.6771565650,4.2800000000,-6.2900000000,5.14,1.0000,0.6318,0.3112,* 57 Peg
214.8853322272,-2.2655163058,-118.8090000000,-71.5080000000,5.14,0.8000,0.8000,0.8000,* ups Vir
306.8300077705,-18.2116940082,16.5600000000,-17.3750000000,5.14,0.5013,0.6047,1.0000,* pi. Cap
247.7285916667,1.9842444444,-21.3000000000,-87.7000000000,5.14,0.7004,0.7579,1.0000,* lam Oph B
102.4775681015,-46.6145615863,-0.9320000000,373.7860000000,5.14,0.9937,0.9526,1.0000,* X Pup
30.4265681201,-44.7135073152,-31.4170000000,-47.8260000000,5.14,1.0000,0.7360,0.4803,* chi Phe
172.9533314481,-59.5156471164,-6.9760000000,1.1180000000,5.14,0.6504,0.7215,1.0000,* omi02 Cen
174.5302898903,-61.8265312236,-67.2170000000,14.1700000000,5.14,0.8000,0.8000,0.8000,HD 101189
284.6518649393,-60.2005479014,-125.6740000000,32.4260000000,5.14,1.0000,0.7992,0.6045,* ome Pav
153.3776346205,-66.3728111816,-34.5170000000,11.5750000000,5.141,0.7004,0.7579,1.0000,* M Car
145.7382868587,72.2526176316,-27.5130000000,-26.9070000000,5.142,1.0000,0.8330,0.6787,* 27 UMa
38.0257073797,36.1472725765,45.0660000000,11.9010000000,5.144,1.0000,0.7360,0.4803,* 14 Tri
134.7181321565,-47.2346831309,-83.6320000000,53.6720000000,5.146,0.7353,0.7827,1.0000,V* FZ Vel
185.5305793861,-67.5221035900,-29.7290000000,-6.6470000000,5.146,0.7260,0.7762,1.0000,* zet02 Mus
206.7347989756,-36.2519333476,-13.5330000000,-10.8860000000,5.147,0.6109,0.6919,1.0000,* z Cen
158.7903905670,57.0826353653,66.4490000000,37.1450000000,5.148,0.8823,0.8819,1.0000,* 37 UMa
132.9867942769,43.7266040012,-14.7080000000,46.3700000000,5.148,1.0000,0.8330,0.6787,* 35 Lyn
94.4238501479,-16.8159086758,-14.4100000000,2.6450000000,5.148,1.0000,0.8221,0.6541,HD 43827
320.7233893414,6.8111398382,53.8430000000,10.7420000000,5.148,0.6703,0.7362,1.0000,* bet Equ
137.3397547845,22.0454383669,-3.1470000000,9.1590000000,5.149,1.0000,0.8541,0.7277,* ksi Cnc
199.5604563802,49.6820636680,-35.1610000000,16.3420000000,5.15,0.5750,0.6642,1.0000,* 21 CVn
180.9148850616,-42.4340584485,318.5540000000,-111.1200000000,5.15,0.9937,0.9526,1.0000,HD 104731
209.6297767467,-24.9722494194,-49.3600000000,-29.5300000000,5.15,0.5496,0.6441,1.0000,* 47 Hya
288.4279216486,2.2936973049,10.1020000000,-0.8250000000,5.15,0.5370,0.6340,1.0000,* 21 Aql
251.4578831171,8.5826135246,-1.7760000000,13.9850000000,5.15,1.0000,0.7360,0.4803,* i Her
291.5380288645,36.3178978187,4.4970000000,13.5140000000,5.15,0.5496,0.6441,1.0000,* 4 Cyg
268.3251130591,40.0079614731,7.4260000000,50.4510000000,5.15,1.0000,0.8221,0.6541,* f Her
127.3645144167,-44.7248121111,-5.7500000000,6.3300000000,5.15,0.5013,0.6047,1.0000,HD 72127
174.2521849574,-61.2834433868,-228.7670000000,1.2810000000,5.15,1.0000,0.8330,0.6787,HD 101021
316.1794278189,-77.0237683556,12.9850000000,-369.8160000000,5.15,0.8000,0.8000,0.8000,* alf Oct
266.0362630895,-51.8340532231,-15.0340000000,-190.9010000000,5.15,1.0000,0.8836,0.8000,* mu. Ara
193.3239930127,21.2449831991,-60.6410000000,-28.0470000000,5.15,0.8000,0.8000,0.8000,* 35 Com A
196.9742202965,-10.7404087040,16.6290000000,-10.1920000000,5.151,1.0000,0.8330,0.6787,* 49 Vir
105.2145218006,-51.4025859708,-21.3960000000,20.1440000000,5.151,1.0000,0.6480,0.3346,* 23 Car
318.9079147986,-20.6516952101,13.8500000000,-2.6820000000,5.152,1.0000,0.8330,0.6787,* phi Cap
17.7781804931,31.4247293475,-9.8740000000,-9.1320000000,5.152,0.8668,0.8718,1.0000,* g Psc
97.8460233977,-12.3919749110,46.8080000000,-26.0990000000,5.153,1.0000,0.8221,0.6541,HD 46184
309.8537196077,0.4864319446,96.8050000000,-10.1400000000,5.153,1.0000,0.8330,0.6787,* 1 Aqr
347.9341258775,8.7201162511,-7.8970000000,-5.2370000000,5.154,0.7260,0.7762,1.0000,* 59 Peg
278.0888808404,-39.7040006939,32.4700000000,-37.4700000000,5.155,0.6703,0.7362,1.0000,HD 170642
49.6572570530,50.2221763049,23.0080000000,-24.4350000000,5.157,0.5013,0.6047,1.0000,* 29 Per
208.6756047238,-1.5031227211,-86.2600000000,-21.3090000000,5.159,1.0000,0.8221,0.6541,* p Vir
194.2681309359,-51.1987535821,-30.0680000000,-15.5260000000,5.159,0.4799,0.5868,1.0000,* H Cen
117.9249530283,1.7668684614,-13.7040000000,-4.0430000000,5.16,0.5496,0.6441,1.0000,* zet CMi
44.1559339086,-3.7123219263,-36.2640000000,-44.3050000000,5.16,0.6324,0.7081,1.0000,HD 18331
44.8030241801,21.3404273826,-15.8840000000,-7.1510000000,5.16,0.6504,0.7215,1.0000,* eps Ari A
179.0039754730,-17.1508244691,-49.9520000000,-8.2710000000,5.16,0.6109,0.6919,1.0000,* eta Crt
222.6715495024,-15.9972104278,-73.5050000000,-67.8710000000,5.16,0.8000,0.8000,0.8000,* alf01 Lib
241.0923141232,-11.3732074049,-74.5180000000,-32.3230000000,5.16,0.8000,0.8000,0.8000,* ksi Sco A
291.3691778324,19.7983528275,87.6900000000,-73.7050000000,5.16,1.0000,0.8330,0.6787,* 4 Vul
130.9178042393,-49.8228008320,-2.8160000000,4.1370000000,5.16,0.4701,0.5784,1.0000,* D Vel
134.8507569791,-59.0837117740,-175.4050000000,282.0800000000,5.16,0.8000,0.8000,0.8000,* b02 Car
157.9875000000,-45.0680555556,~,~,5.16,0.8000,0.8000,0.8000,* s Vel
292.6803958333,27.9596166667,-1.5000000000,-1.4000000000,5.16,0.5750,0.6642,1.0000,* bet01 Cyg B
117.4216726086,-17.2284084656,54.5380000000,-117.1650000000,5.162,1.0000,0.7872,0.5797,* 6 Pup
304.6627999701,34.9827705521,-2.8020000000,-4.2920000000,5.162,0.8000,0.8000,0.8000,* 35 Cyg
33.0928320539,30.3030703277,-64.3500000000,-59.5030000000,5.162,1.0000,0.8740,0.7760,* iot Tri A
77.9231844288,16.0456727144,4.5700000000,6.1800000000,5.163,1.0000,0.7360,0.4803,HD 33554
316.3093697174,-54.7270415563,15.4210000000,-37.1150000000,5.163,1.0000,0.7992,0.6045,* mu. Ind
65.9202168130,-3.7454680670,-48.7230000000,-55.7570000000,5.165,0.6324,0.7081,1.0000,* ksi Eri
181.9578155055,-75.3670180581,-92.6090000000,19.3320000000,5.165,1.0000,0.7992,0.6045,HD 105340
39.5084715537,72.8182529425,-28.0720000000,15.6280000000,5.166,1.0000,0.8541,0.7277,HD 15920
84.9341699762,25.8970944514,12.4040000000,-22.5580000000,5.166,0.5013,0.6047,1.0000,* 125 Tau
87.7217561833,-52.1088742288,2.9530000000,-76.6510000000,5.166,1.0000,0.8541,0.7277,HD 39640
356.8166517569,-50.2264588841,9.5260000000,-23.2130000000,5.166,0.5013,0.6047,1.0000,* sig Phe
339.6580137705,56.7956327448,52.7540000000,-31.8690000000,5.167,1.0000,0.6318,0.3112,V* V416 Lac
5.3799927402,-28.9814702064,33.0340000000,-72.2440000000,5.167,1.0000,0.8330,0.6787,* iot Scl
226.2007815241,-64.0313511514,103.0580000000,8.4990000000,5.168,1.0000,0.8541,0.7277,* eta Cir
294.1582368607,44.6949337673,-95.0160000000,-104.8580000000,5.169,1.0000,0.8541,0.7277,HD 185351
17.0679289394,54.9201558892,3468.2510000000,-1564.8440000000,5.17,1.0000,0.8740,0.7760,* mu. Cas
35.5893096279,55.8456528759,0.6400000000,-1.6920000000,5.17,0.6324,0.7081,1.0000,* i Per
101.1186129348,-31.0705256550,-3.2860000000,4.2010000000,5.17,0.4799,0.5868,1.0000,* 10 CMa
115.9247042761,-40.9337464497,130.9600000000,-170.9190000000,5.17,1.0000,0.8221,0.6541,* W Pup
129.7829111304,-22.6618967578,-240.3190000000,459.9730000000,5.17,1.0000,0.8836,0.8000,HD 73752
269.7720041667,-30.2530222222,0.6000000000,-7.2000000000,5.17,1.0000,0.6480,0.3346,HD 163755
233.6104758594,-9.1834389476,-30.3170000000,-25.6530000000,5.17,0.5229,0.6225,1.0000,HD 138764
232.1593209185,1.8420796482,-84.8840000000,-34.2390000000,5.17,0.7353,0.7827,1.0000,* 10 Ser
294.7985099906,5.3977722179,4.5280000000,-4.5070000000,5.17,0.5013,0.6047,1.0000,* sig Aql
231.4474890193,15.4280363511,-13.1720000000,-7.7900000000,5.17,1.0000,0.6480,0.3346,* tau01 Ser
126.3805207893,-51.7274135371,-14.4700000000,17.4620000000,5.17,0.5013,0.6047,1.0000,HD 71510
106.0762891754,-56.7497022501,12.9830000000,-0.0110000000,5.17,0.8000,0.8000,0.8000,V* V386 Car
104.9605628119,-67.9164445257,-27.4670000000,233.7960000000,5.17,1.0000,0.7872,0.5797,HD 53501
171.4297691474,-63.9724770428,-315.7460000000,-65.8840000000,5.17,0.8000,0.8000,0.8000,HD 99453
265.1753750000,-53.6743333333,3.3000000000,-17.6000000000,5.17,0.8000,0.8000,0.8000,NGC 6397
125.6320541375,-48.4903859028,-5.6000000000,5.3000000000,5.17,0.8000,0.8000,0.8000,* B Vel A
229.0167459971,-41.4911656980,-5.4090000000,-2.8300000000,5.171,0.8000,0.8000,0.8000,HD 135345
61.6517191453,27.5999000416,21.1530000000,-51.7920000000,5.172,0.8000,0.8000,0.8000,* 41 Tau
325.7668470246,72.3200855359,-43.5130000000,-39.9850000000,5.173,1.0000,0.8330,0.6787,* 78 Dra
7.0569556050,44.3944692922,75.1250000000,-15.0800000000,5.173,0.6504,0.7215,1.0000,HD 2421
283.1651873722,-52.1073697830,38.4210000000,-96.7280000000,5.173,1.0000,0.8541,0.7277,* kap Tel
25.7327636534,70.6225255841,76.2950000000,-14.0910000000,5.174,0.5750,0.6642,1.0000,* 42 Cas
286.5831506131,-52.3409113497,32.2090000000,-116.6460000000,5.174,0.8000,0.8000,0.8000,* rho Tel
125.3376850022,-36.4841768585,-7.2990000000,7.1500000000,5.176,0.4799,0.5868,1.0000,HD 70556
303.8759943278,23.5089030749,2.8520000000,-7.2780000000,5.176,1.0000,0.8836,0.8000,* 22 Vul
335.0069987354,-80.4397485361,56.8100000000,-43.4700000000,5.177,0.8000,0.8000,0.8000,* eps Oct
319.8425843600,64.8718561431,5.2000000000,5.6900000000,5.18,0.5013,0.6047,1.0000,* 6 Cep
86.4995625996,-32.3064339616,3.2710000000,-22.1760000000,5.18,0.8000,0.8000,0.8000,* mu. Col
116.6636682830,37.5173952219,28.1610000000,13.0840000000,5.18,1.0000,0.6318,0.3112,V* DU Lyn
325.3869116933,-14.0476124423,-121.4030000000,-309.9770000000,5.18,1.0000,0.8929,0.8238,* 42 Cap
357.8389096671,-18.9091649247,26.8200000000,-4.2700000000,5.18,0.6109,0.6919,1.0000,* i03 Aqr
349.7779966590,-13.4588405540,264.6340000000,-59.4820000000,5.18,1.0000,0.8541,0.7277,* 94 Aqr
5.2802864133,37.9686054570,57.7370000000,-38.8380000000,5.18,0.9937,0.9526,1.0000,* rho And
157.3695953552,-2.7390757814,-49.1270000000,-13.0230000000,5.18,0.5750,0.6642,1.0000,* del Sex
169.3225016950,2.0105564708,55.2400000000,-142.6100000000,5.18,1.0000,0.6789,0.3823,* 75 Leo
186.0772870957,26.0985892788,-26.1580000000,-9.3850000000,5.18,0.6703,0.7362,1.0000,* 13 Com
119.9064262772,-60.5870621801,-4.0370000000,11.1220000000,5.18,1.0000,0.6480,0.3346,V* V460 Car
223.8939985956,-60.1141653522,-126.0260000000,-113.2770000000,5.18,1.0000,0.7992,0.6045,HD 131342
345.6515956333,42.7577931361,58.9000000000,-6.3000000000,5.18,0.8000,0.8000,0.8000,* 2 And A
105.6032499688,24.2154462533,-7.0540000000,-0.3920000000,5.181,1.0000,0.8740,0.7760,* ome Gem
313.9028707937,13.7215362732,16.4570000000,-11.4680000000,5.182,1.0000,0.8330,0.6787,* 17 Del
247.7056647871,-61.6335057533,-11.4690000000,-9.9110000000,5.182,1.0000,0.8221,0.6541,HD 148291
122.3996405320,-44.1227674214,-11.7940000000,3.1600000000,5.183,0.4799,0.5868,1.0000,HD 68217
73.6953965534,11.4259830648,-6.1410000000,17.8950000000,5.184,0.6703,0.7362,1.0000,* g Ori
307.8766945670,74.9546260726,7.2570000000,-17.2600000000,5.185,0.8520,0.8621,1.0000,* 73 Dra
96.8073378185,0.2992441993,2.3060000000,-8.9690000000,5.186,1.0000,0.8221,0.6541,* 77 Ori
64.1795487926,53.6118002166,-17.7000000000,-0.2180000000,5.187,0.6504,0.7215,1.0000,HD 26764
339.6627156620,63.5844713744,0.1960000000,-19.2950000000,5.188,0.6109,0.6919,1.0000,* 30 Cep
68.5484519042,-8.2313515537,-22.8760000000,4.1400000000,5.188,1.0000,0.6789,0.3823,* 47 Eri
111.0352814954,40.6723888560,-4.0810000000,-21.0230000000,5.188,1.0000,0.8330,0.6787,* 66 Aur
303.5605397226,28.6948171729,12.5410000000,-19.1170000000,5.189,0.7652,0.8035,1.0000,* 21 Vul
36.1038166423,50.0065433325,24.5740000000,-35.9770000000,5.19,1.0000,0.8541,0.7277,* 64 And
51.1689863248,64.5859944075,-3.7340000000,-0.1710000000,5.19,1.0000,0.6789,0.3823,V* CQ Cam
111.1674472184,-16.2014728469,-4.9860000000,-20.7340000000,5.19,0.4799,0.5868,1.0000,HD 58343
7.5943961641,-23.7876815028,-26.3800000000,13.5040000000,5.19,0.6703,0.7362,1.0000,HD 2696
18.4328583432,7.5753599375,142.6930000000,-53.0510000000,5.19,0.7652,0.8035,1.0000,* zet Psc A
299.9799808107,37.0428854614,0.9300000000,-0.2260000000,5.19,0.5013,0.6047,1.0000,* 25 Cyg
127.3645208333,-44.7248194444,-4.5000000000,3.3000000000,5.19,0.4799,0.5868,1.0000,HD 72127A
129.9899937402,-53.0547268409,-24.7960000000,23.3730000000,5.19,0.5229,0.6225,1.0000,HD 74146
167.1416576161,-61.9471756991,-6.4800000000,1.9000000000,5.19,0.5750,0.6642,1.0000,* z02 Car
12.5316206770,-10.6443288479,-228.0310000000,-229.5770000000,5.19,0.8000,0.8000,0.8000,* phi02 Cet
106.0116419400,-42.3372795719,-17.4600000000,71.6300000000,5.191,0.6703,0.7362,1.0000,* C Pup
105.4849317168,-5.7220631310,-15.0260000000,6.8600000000,5.192,1.0000,0.7360,0.4803,HD 52666
290.7120231289,26.2624075945,0.9220000000,-10.2700000000,5.192,0.5340,0.6316,1.0000,* 3 Vul
261.5001797020,-50.6335066163,13.0040000000,7.5540000000,5.193,1.0000,0.8541,0.7277,* kap Ara
236.6666932167,62.5995564317,39.7610000000,-56.3640000000,5.194,0.6504,0.7215,1.0000,HD 141653
100.4849385845,-9.1675347808,33.0520000000,-45.0110000000,5.194,1.0000,0.7360,0.4803,HD 48217
132.4645565623,-32.7805370140,7.7300000000,-43.7010000000,5.194,1.0000,0.8541,0.7277,HD 75605
196.4351480784,35.7988999361,-37.2080000000,20.0340000000,5.195,0.5750,0.6642,1.0000,* 14 CVn
316.6028220699,-32.3416189585,-5.9490000000,7.7860000000,5.196,1.0000,0.7992,0.6045,* 2 PsA
96.7036345973,58.4174080229,-6.5180000000,-1.7140000000,5.197,1.0000,0.7750,0.5548,* 5 Lyn
97.3687422328,-56.8527668552,-39.1460000000,32.2600000000,5.197,1.0000,0.8330,0.6787,* 61 Pic
35.6357936203,-23.8167999620,162.3210000000,5.0380000000,5.198,1.0000,0.9019,0.8473,* kap For
88.7409423662,59.8883686548,0.8310000000,-17.6250000000,5.2,0.6504,0.7215,1.0000,* 31 Cam
138.5855918193,61.4233169622,-7.8260000000,-31.0830000000,5.2,1.0000,0.9019,0.8473,* c UMa
146.6319357270,57.1280688807,0.5420000000,33.0410000000,5.2,1.0000,0.6318,0.3112,* 44 Lyn
61.7519039747,29.0013081319,-91.6610000000,8.0960000000,5.2,0.8668,0.8718,1.0000,* psi Tau
89.7065613468,0.5529823367,-15.4280000000,2.1560000000,5.2,0.6109,0.6919,1.0000,* 60 Ori
175.4331141515,-32.4994031195,-7.1500000000,-32.9480000000,5.2,1.0000,0.7360,0.4803,* 26 Crt
247.3508333333,-26.4308333333,~,~,5.2,0.4799,0.5868,1.0000,* alf Sco B
226.6566521305,-16.2568186084,-36.8210000000,-23.2470000000,5.2,1.0000,0.7360,0.4803,* nu. Lib
281.8706245725,-5.7051507255,-44.4000000000,-32.2120000000,5.2,1.0000,0.7750,0.5548,V* R Sct
245.5892701386,33.7990522305,4.7560000000,-38.2230000000,5.2,1.0000,0.6480,0.3346,* nu.01 CrB
301.5479166667,35.7650000000,-3.1290000000,-6.4370000000,5.2,0.8000,0.8000,0.8000,NGC 6871
130.0798989433,-40.2638712421,-57.2080000000,6.6010000000,5.2,0.8000,0.8000,0.8000,V* NY Vel
129.7715060668,-70.3867438775,19.5210000000,-39.2380000000,5.2,0.6109,0.6919,1.0000,* tet Vol
82.9702191068,-76.3409016836,135.9240000000,266.8770000000,5.2,1.0000,0.7992,0.6045,* gam Men
193.6536839956,-57.1686649773,-28.3860000000,-10.4470000000,5.2,0.5229,0.6225,1.0000,* mu.02 Cru
8.8119986667,-3.5928435278,408.3400000000,-35.2200000000,5.201,0.8000,0.8000,0.8000,* 13 Cet
338.6734824421,-20.7082158103,221.1850000000,-147.0900000000,5.203,0.8000,0.8000,0.8000,* ups Aqr
76.8917785875,-63.3996798229,13.2100000000,-44.8130000000,5.205,1.0000,0.6318,0.3112,V* WZ Dor
80.4517356050,41.8045720426,15.0530000000,-37.6950000000,5.207,0.5013,0.6047,1.0000,* rho Aur
96.0429975458,-11.5300876299,-55.4180000000,-33.3240000000,5.207,1.0000,0.7992,0.6045,HD 44951
16.9492638661,-41.4868431357,53.6870000000,1.3760000000,5.207,0.6324,0.7081,1.0000,* ups Phe
191.4044103504,7.6733248853,-107.9500000000,4.1000000000,5.207,0.8668,0.8718,1.0000,* d02 Vir
116.8812731132,-46.6084899239,-4.2070000000,8.8600000000,5.208,0.4799,0.5868,1.0000,HD 63578
69.4005525379,-2.4735488129,44.0490000000,-64.0280000000,5.209,0.8668,0.8718,1.0000,* 51 Eri
316.7247482896,38.7494173194,4164.2090000000,3249.6140000000,5.21,1.0000,0.7360,0.4803,* 61 Cyg A
91.0562514051,-6.7089514981,-3.8040000000,3.6230000000,5.21,0.4701,0.5784,1.0000,HD 41335
97.9512447326,11.5444117667,16.9550000000,27.8050000000,5.21,0.6703,0.7362,1.0000,HD 46089
100.6013634121,17.6453088431,7.8700000000,-84.3200000000,5.21,0.6504,0.7215,1.0000,* 26 Gem
185.1401749294,-22.2159004737,-108.8790000000,-27.6610000000,5.21,0.5496,0.6441,1.0000,* zet Crv
203.2419649669,-10.1649986301,-31.0190000000,-38.8500000000,5.21,1.0000,0.8541,0.7277,* h Vir
282.4171166573,-20.3246546402,-0.5750000000,33.1560000000,5.21,1.0000,0.7992,0.6045,* 29 Sgr
40.1650556146,-54.5499119188,33.3950000000,5.8120000000,5.21,0.8000,0.8000,0.8000,* zet Hor
7.5306879769,29.7515577958,42.9760000000,-56.6750000000,5.214,0.7652,0.8035,1.0000,* 28 And
101.9148995444,48.7894843762,3.9880000000,4.7480000000,5.216,1.0000,0.8330,0.6787,* psi06 Aur
322.3622906933,46.5405855475,43.1660000000,104.3260000000,5.217,1.0000,0.8330,0.6787,* g Cyg
281.9359072275,-40.4061659494,23.6900000000,-18.3730000000,5.217,1.0000,0.8740,0.7760,* mu. CrA
237.5731117610,2.1965088901,30.2640000000,-47.5930000000,5.217,1.0000,0.8330,0.6787,* ome Ser
122.4298091606,-47.9371917881,-6.4250000000,9.7390000000,5.217,0.4799,0.5868,1.0000,V* IS Vel
205.4365434499,-54.5594263131,-43.7830000000,-24.9350000000,5.217,0.5496,0.6441,1.0000,* Q Cen A
63.6509691962,10.0114072006,-9.2890000000,-12.9890000000,5.218,0.5750,0.6642,1.0000,HD 26793
45.2175459435,52.3517355895,28.3830000000,-25.3290000000,5.219,0.5370,0.6340,1.0000,HD 18537
171.3727230287,-36.0630619430,-106.9250000000,18.0640000000,5.219,1.0000,0.8330,0.6787,HD 99322
168.1883624982,-64.1697697673,-47.5190000000,5.5450000000,5.219,0.5496,0.6441,1.0000,HD 97583
31.3814588841,76.1150601248,-11.8130000000,-20.5610000000,5.22,1.0000,0.8541,0.7277,* 49 Cas
112.0086451902,6.9419706076,-3.1090000000,-43.6330000000,5.22,0.8668,0.8718,1.0000,* eta CMi
134.8860607498,32.4185593068,-43.7410000000,-34.7540000000,5.22,0.8000,0.8000,0.8000,* sig03 Cnc
134.3122903779,15.3227666001,60.7320000000,20.3960000000,5.22,0.7260,0.7762,1.0000,* omi01 Cnc
11.1849838527,-22.0061333670,-65.7370000000,81.8410000000,5.22,0.8000,0.8000,0.8000,HD 4247
350.6632130417,-15.0393401389,117.0000000000,16.4800000000,5.22,0.6703,0.7362,1.0000,* 97 Aqr
198.9948786209,-19.9431003622,304.2780000000,-114.9320000000,5.22,1.0000,0.8221,0.6541,* 57 Vir
252.8905075218,-41.2305331999,-0.6930000000,-0.7540000000,5.22,0.8000,0.8000,0.8000,HD 151804
286.8565913996,32.5017602035,114.2760000000,18.3160000000,5.22,0.8668,0.8718,1.0000,* 17 Lyr
151.5467162349,-47.3699959611,-10.3630000000,-49.9930000000,5.22,0.8000,0.8000,0.8000,HD 87783A
221.7553902539,-52.3835172634,-17.2870000000,-82.2750000000,5.22,1.0000,0.8541,0.7277,* b Lup
149.7178142626,-35.8909728992,-89.7280000000,-15.9450000000,5.222,0.8823,0.8819,1.0000,* eta Ant
232.3511246879,-46.7327051798,-7.1850000000,-5.6980000000,5.222,1.0000,0.7750,0.5548,HD 137709
20.2807209046,28.7382071971,28.4840000000,-74.4860000000,5.223,1.0000,0.7360,0.4803,* l Psc
119.8681903967,-39.2969465908,-78.7000000000,-44.1500000000,5.224,0.8000,0.8000,0.8000,HD 65925
193.8689523507,65.4384742024,-3.6580000000,-30.1260000000,5.225,0.8000,0.8000,0.8000,* 8 Dra
133.9153353855,27.9274821811,-13.0140000000,-32.5350000000,5.225,1.0000,0.8541,0.7277,* rho02 Cnc
12.6716098242,-50.9868172781,62.9190000000,44.1390000000,5.225,0.8000,0.8000,0.8000,* rho Phe
282.4704888288,32.5510602881,-10.6850000000,-11.7710000000,5.226,0.6703,0.7362,1.0000,* nu. Lyr
276.0759978721,-44.1102551612,-1.6590000000,-22.0220000000,5.227,0.5013,0.6047,1.0000,HD 168905
130.4871238809,-45.4107117777,-5.7880000000,4.4870000000,5.227,0.5340,0.6316,1.0000,HD 74371
